,day,closing,alpha,f,yield,datetime
215,2019/11/25,2906.17,0.394023,0.227647,0.0031320000000000002,2019-11-25
216,2019/11/26,2907.06,0.808634,-1.21346,0.000133,2019-11-26
217,2019/11/27,2903.19,1.313007,0.41639499999999996,-0.00058,2019-11-27
218,2019/11/28,2889.69,0.788578,0.224204,-0.00202,2019-11-28
219,2019/11/29,2871.98,0.540871,0.205166,-0.00267,2019-11-29
220,2019/12/2,2875.81,1.367085,-0.13675,0.000579,2019-12-02
221,2019/12/3,2884.7,7.67e-12,0.84562,0.00134,2019-12-03
222,2019/12/4,2878.12,0.582847,0.950441,-0.00099,2019-12-04
223,2019/12/5,2899.47,0.9899120000000001,-1.63358,0.00321,2019-12-05
224,2019/12/6,2912.01,0.501033,-0.4967,0.0018739999999999998,2019-12-06
225,2019/12/9,2914.48,1.896439,-1.36935,0.000368,2019-12-09
226,2019/12/10,2917.32,0.9134909999999999,-1.55481,0.00042300000000000004,2019-12-10
227,2019/12/11,2924.42,1.017799,-0.85931,0.001056,2019-12-11
228,2019/12/12,2915.7,0.17511600000000002,-0.34246,-0.0013,2019-12-12
229,2019/12/13,2967.68,1.273643,-1.3879700000000001,0.007673999999999999,2019-12-13
230,2019/12/16,2984.39,2.4e-15,-0.44756,0.002439,2019-12-16
231,2019/12/17,3022.42,1.107343,-1.25053,0.005499,2019-12-17
232,2019/12/18,3017.04,1.1130360000000001,-1.21021,-0.0007700000000000001,2019-12-18
233,2019/12/19,3017.07,1.292706,-0.94596,4.32e-06,2019-12-19
234,2019/12/20,3004.94,0.188851,0.263712,-0.00175,2019-12-20
235,2019/12/23,2962.75,0.483566,-0.47835,-0.00614,2019-12-23
236,2019/12/24,2982.68,1.258889,-0.28221,0.002912,2019-12-24
237,2019/12/25,2981.88,0.298064,-0.63139,-0.00011999999999999999,2019-12-25
238,2019/12/26,3007.35,1.315691,-1.8243099999999999,0.003694,2019-12-26
239,2019/12/27,3005.04,0.039438,-0.60685,-0.00033,2019-12-27
240,2019/12/30,3040.02,1.3e-18,-0.16914,0.005026,2019-12-30
241,2019/12/31,3050.12,0.5841729999999999,-0.12405999999999999,0.00144,2019-12-31
242,2020/1/2,3085.2,1.309245,-0.7052,0.004966,2020-01-02
243,2020/1/3,3083.79,6.49e-16,-0.33637,-0.0002,2020-01-03
244,2020/1/6,3083.41,0.543979,0.421458,-5.4000000000000005e-05,2020-01-06
245,2020/1/7,3104.8,0.113331,-0.5292600000000001,0.003002,2020-01-07
246,2020/1/8,3066.89,0.697871,-0.13568,-0.00534,2020-01-08
247,2020/1/9,3094.88,5.670000000000001e-11,-0.60127,0.003946,2020-01-09
248,2020/1/10,3092.29,0.272997,-0.31389,-0.00036,2020-01-10
249,2020/1/13,3115.57,0.248952,0.067134,0.003257,2020-01-13
250,2020/1/14,3106.82,0.43879799999999997,-1.09332,-0.00122,2020-01-14
251,2020/1/15,3090.04,0.71632,-0.6419100000000001,-0.00235,2020-01-15
252,2020/1/16,3074.08,0.628105,-0.97219,-0.00225,2020-01-16
253,2020/1/17,3075.5,6.409999999999999e-13,-0.21950999999999998,0.00020099999999999998,2020-01-17
254,2020/1/20,3095.79,0.062636,-0.63743,0.002856,2020-01-20
255,2020/1/21,3052.14,1.1833870000000002,-2.42351,-0.00617,2020-01-21
256,2020/1/22,3060.75,0.304772,0.309379,0.0012230000000000001,2020-01-22
257,2020/1/23,2976.53,0.6731189999999999,-0.07478,-0.01212,2020-01-23
258,2020/2/3,2746.61,0.443779,-0.40749,-0.034910000000000004,2020-02-03
259,2020/2/4,2783.29,4.1600000000000007e-17,-0.78605,0.005761,2020-02-04
260,2020/2/5,2818.09,0.590187,0.015455000000000002,0.005396,2020-02-05
